"course_id","title","provider","category","level","rating","duration_hours","price_usd","skills_covered","prerequisites","description","url"
"C027","Flutter & Dart - The Complete Guide","Udemy (Maximilian Schwarzmüller)","Mobile Development","Beginner","4.6","30","19.99","Flutter; Dart; Mobile UI; State Management; REST APIs; Firebase","None","A complete guide to building native iOS and Android apps using Google's Flutter framework.","https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/"
"C028","iOS & Swift - The Complete iOS App Development Bootcamp","Udemy (Dr. Angela Yu)","Mobile Development","Beginner","4.8","60","19.99","Swift; SwiftUI; CoreData; ARKit; iOS Architecture; Git","None","Master Swift and iOS development by building 15+ real-world apps from scratch.","https://www.udemy.com/course/ios-13-app-development-bootcamp/"
"C029","Android Basics in Kotlin","Google Developers","Mobile Development","Beginner","4.8","40","0.0","Kotlin; Android Studio; ViewModel; Navigation; Room DB; Coroutines","None","Learn foundational Android development concepts and build Android apps using Kotlin.","https://developer.android.com/courses/android-basics-kotlin/course"
"C030","Google UX Design Professional Certificate","Coursera (Google)","UI/UX Design","Beginner","4.8","140","49.0","Figma; Wireframing; Prototyping; User Research; Usability Testing","None","Complete training to become a job-ready UX designer through building an end-to-end portfolio.","https://www.coursera.org/professional-certificates/google-ux-design"
"C031","User Experience Research and Design Specialization","Coursera (University of Michigan)","UI/UX Design","Intermediate","4.7","50","49.0","User Research; Heuristic Evaluation; Information Architecture; Interaction Design","None","Learn how to design great user experiences through research prototyping and usability testing.","https://www.coursera.org/specializations/michiganux"
"C032","Figma UI UX Design Essentials","Udemy (Daniel Walter Scott)","UI/UX Design","Beginner","4.7","12","19.99","Figma; Auto Layout; Design Systems; Micro-interactions; Responsive Design","None","Use Figma to design modern mobile apps and website user interfaces with animations and prototypes.","https://www.udemy.com/course/figma-ui-ux-design-essentials/"
"C033","System Design Interview - An Insider's Guide","ByteByteGo (Alex Xu)","Software Engineering","Advanced","4.9","35","79.0","Scalability; Microservices; Caching; Load Balancing; Database Sharding; Kafka","Backend Fundamentals","Comprehensive guide to passing complex software architecture and distributed system interviews.","https://bytebytego.com/"
"C034","Distributed Systems","MIT OCW (6.824)","Software Engineering","Advanced","4.9","80","0.0","Raft; Paxos; MapReduce; Fault Tolerance; Consistency; Go","Strong Systems Programming","Legendary MIT course covering the principles and abstractions of fault-tolerant distributed systems.","https://pdos.csail.mit.edu/6.824/"
"C035","Reinforcement Learning Specialization","Coursera (University of Alberta)","AI & Machine Learning","Advanced","4.7","60","49.0","Q-Learning; Policy Gradients; Markov Decision Processes; Actor-Critic; Bellman Equations","Python; Calculus; Probability","Master the algorithms and theoretical frameworks of Reinforcement Learning taught by pioneers.","https://www.coursera.org/specializations/reinforcement-learning-specialization"
"C036","Machine Learning Engineering for Production (MLOps)","Coursera (DeepLearning.AI)","AI & Machine Learning","Intermediate","4.7","45","49.0","MLOps; Data Pipelines; Model Monitoring; CI/CD for ML; TFX; MLflow","Machine Learning; Python","Learn how to design scalable and production-ready machine learning systems and pipelines.","https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops"
"C037","Data Engineering on GCP Specialization","Coursera (Google Cloud)","Data Science","Intermediate","4.6","50","49.0","BigQuery; Dataflow; Cloud Pub/Sub; Dataproc; Apache Beam","SQL; Python","Learn how to design build and operationalize data processing systems on Google Cloud Platform.","https://www.coursera.org/specializations/gcp-data-engineering"
"C038","Data Engineering with AWS","Udemy (Stephane Maarek)","Data Science","Intermediate","4.7","25","19.99","AWS Glue; Athena; Redshift; EMR; Kinesis; QuickSight; S3 Data Lake","AWS Basics","Master AWS data analytics and data engineering services to build robust cloud data pipelines.","https://www.udemy.com/course/aws-data-analytics/"
"C039","Prompt Engineering for Generative AI","Vanderbilt University (Coursera)","AI & Machine Learning","Beginner","4.8","18","49.0","Prompt Engineering; Few-Shot Learning; Chain of Thought; ReAct; LLM Constraints","None","Learn prompt engineering techniques to elicit optimal reasoning and responses from LLMs.","https://www.coursera.org/learn/prompt-engineering"
"C040","LangChain & Vector Databases in Production","Activeloop & Towards AI","AI & Machine Learning","Intermediate","4.8","20","0.0","LangChain; Vector Search; ChromaDB; Pinecone; RAG; Embeddings","Python Basics","Build LLM-powered autonomous agents and Retrieval Augmented Generation (RAG) applications.","https://learn.activeloop.ai/courses/langchain"
"C041","Complete SQL Bootcamp: Go from Zero to Hero","Udemy (Jose Portilla)","Data Science","Beginner","4.7","12","19.99","PostgreSQL; SQL Queries; Joins; Aggregations; Window Functions; Subqueries","None","Master SQL and relational database queries through practical business analytics exercises.","https://www.udemy.com/course/the-complete-sql-bootcamp/"
"C042","PostgreSQL for Everybody Specialization","Coursera (University of Michigan)","Data Science","Beginner","4.7","40","49.0","PostgreSQL; Database Design; Normalization; JSONB; Elasticsearch","Python Basics","Learn database design relational queries and data modeling using PostgreSQL.","https://www.coursera.org/specializations/postgresql-for-everybody"
"C043","Go: The Complete Developer's Guide (Golang)","Udemy (Stephen Grider)","Software Engineering","Beginner","4.7","10","19.99","Go; Concurrency; Goroutines; Channels; Interfaces; HTTP Servers","Basic Programming","Master the fundamentals of Google's Go programming language with practical concurrency projects.","https://www.udemy.com/course/go-the-complete-developers-guide/"
"C044","Rust Programming: The Complete Guide","Udemy (Nathan Stocks)","Software Engineering","Intermediate","4.7","15","19.99","Rust; Memory Safety; Ownership; Lifetimes; Concurrency; Cargo","C or C++ or Python","Master safe systems programming and modern memory management using the Rust programming language.","https://www.udemy.com/course/ultimate-rust-crash-course/"
"C045","DevOps Beginners to Advanced with Projects","Udemy (Imran Teli)","Cloud & DevOps","Beginner","4.6","35","19.99","Linux; Jenkins; Git; Ansible; Docker; Kubernetes; Terraform","None","Comprehensive real-world DevOps journey from server setup to automated CI/CD deployment pipelines.","https://www.udemy.com/course/decodingdevops/"
"C046","Terraform for AWS - Associate 003","Udemy (Zeal Vora)","Cloud & DevOps","Intermediate","4.7","16","19.99","Infrastructure as Code; Terraform; AWS; State Management; Modules","AWS Basics","Automate cloud infrastructure provisioning on Amazon Web Services using HashiCorp Terraform.","https://www.udemy.com/course/terraform-certified/"
"C047","Kubernetes for Certified Kubernetes Administrator (CKA)","Udemy (Mumshad Mannambeth)","Cloud & DevOps","Advanced","4.8","22","19.99","Kubernetes Architecture; Networking; Storage; Security; Troubleshooting; ETCD","Docker Basics","In-depth hands-on exam prep for Kubernetes cluster administration with interactive coding labs.","https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/"
"C048","Next.js 14 & React - The Complete Guide","Udemy (Maximilian Schwarzmüller)","Web Development","Intermediate","4.8","32","19.99","Next.js; Server Actions; App Router; SSR; SSG; SEO; Tailwind CSS","React Basics","Build modern fullstack production-grade web applications using Next.js App Router and React.","https://www.udemy.com/course/nextjs-react-the-complete-guide/"
"C049","Tailwind CSS From Scratch","Udemy (Brad Traversy)","Web Development","Beginner","4.8","12","19.99","Tailwind CSS; Responsive Design; Flexbox; CSS Grid; Modern UI","HTML CSS","Build beautiful responsive web user interfaces quickly without writing custom vanilla CSS.","https://www.udemy.com/course/tailwind-css-from-scratch/"
"C050","TypeScript for Professionals","Frontend Masters (Mike North)","Web Development","Intermediate","4.9","14","39.0","TypeScript; Generics; Type Guards; Conditional Types; Compilation","JavaScript","Level up your JavaScript skills by adding static typing robustness and enterprise scalability.","https://frontendmasters.com/courses/typescript-v4/"
"C051","Building Systems with the ChatGPT API","DeepLearning.AI","AI & Machine Learning","Intermediate","4.8","6","0.0","LLM Workflows; Chain of Thought; Moderation; System Prompts; Evaluation","Python","Learn how to build complex multi-step automated applications using OpenAI's ChatGPT APIs.","https://www.deeplearning.ai/short-courses/building-systems-with-chatgpt/"
"C052","AI Agents in LangGraph","DeepLearning.AI & LangChain","AI & Machine Learning","Advanced","4.9","8","0.0","LangGraph; Multi-Agent Workflows; Human-in-the-loop; State Machines; Tool Calling","Python; LangChain","Build controllable cyclical multi-agent workflows and autonomous agents using LangGraph.","https://www.deeplearning.ai/short-courses/ai-agents-in-langgraph/"
"C053","CrewAI: Multi-Agent Systems","DeepLearning.AI & CrewAI","AI & Machine Learning","Intermediate","4.8","6","0.0","CrewAI; Multi-Agent Collaboration; Role Playing; Sequential Pipelines; Delegation","Python Basics","Design and coordinate teams of specialized AI agents to automate end-to-end knowledge workflows.","https://www.deeplearning.ai/short-courses/multi-agent-systems-with-crewai/"
"C054","Microservices Architecture with Spring Boot","Udemy (In28Minutes)","Software Engineering","Intermediate","4.6","22","19.99","Spring Boot; Spring Cloud; Docker; Eureka; API Gateway; Resilience4j","Java Basics","Develop robust cloud-native RESTful microservices using Spring Boot and Spring Cloud tooling.","https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/"
"C055","Core Java Specialization","Coursera (LearnQuest)","Software Engineering","Beginner","4.7","60","49.0","Java; Object-Oriented Programming; Collections; Multithreading; Exception Handling","None","Foundational guide to Java programming principles algorithms and application architecture.","https://www.coursera.org/specializations/core-java"
"C056","C++ Programming for Game Development","Udemy (Stephen Ulibarri)","Software Engineering","Intermediate","4.8","40","19.99","C++; Pointers; Memory Management; Unreal Engine 5; OOP; Game Math","Basic Programming","Master modern C++ mechanics and object-oriented paradigms tailored for 3D game engines.","https://www.udemy.com/course/unreal-engine-5-the-ultimate-game-developer-course/"
"C057","Blockchain Basics Specialization","Coursera (University at Buffalo)","Computer Science","Beginner","4.6","35","49.0","Blockchain; Smart Contracts; Ethereum; Cryptography; Consensus Algorithms","None","Learn the decentralized foundations smart contract principles and architectures of blockchain systems.","https://www.coursera.org/specializations/blockchain"
"C058","Ethereum and Solidity: The Complete Developer's Guide","Udemy (Stephen Grider)","Web Development","Intermediate","4.7","24","19.99","Solidity; Ethereum; Web3.js; Smart Contracts; Truffle; Metamask","JavaScript","Build secure decentralized applications (DApps) on Ethereum using Solidity and smart contracts.","https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/"
"C059","Cybersecurity Operations (CyberOps) Associate","Cisco Networking Academy","Cybersecurity","Intermediate","4.7","70","0.0","Security Operations Center; SIEM; Intrusion Detection; Incident Analysis; Threat Intelligence","Networking Basics","Hands-on training preparing security analysts for monitoring and defending enterprise networks.","https://www.netacad.com/courses/cybersecurity/cyberops-associate"
"C060","Web Security & Bug Bounty: Learn Pentesting","Udemy (Andrei Neagoie)","Cybersecurity","Intermediate","4.7","12","19.99","XSS; SQL Injection; CSRF; SSRF; OWASP Top 10; Burp Suite","Web Basics","Discover web vulnerabilities exploit weaknesses ethically and secure modern web architectures.","https://www.udemy.com/course/web-security-bug-bounty-learn-penetration-testing/"
"C061","Computer Networking: A Top-Down Approach","Stanford Online / edX","Computer Science","Beginner","4.8","45","0.0","TCP/IP; DNS; HTTP; Routing Protocols; Sockets; Congestion Control","Basic CS","Understand internet architecture protocols packet switching and end-to-end communication.","https://online.stanford.edu/courses/soe-ynetwork-computer-networking"
"C062","Operating Systems: Three Easy Pieces (OSTEP)","University of Wisconsin-Madison","Computer Science","Intermediate","4.9","60","0.0","Virtualization; Concurrency; Persistence; CPU Scheduling; Paging; File Systems","C Programming","The definitive guide to operating system internals virtualization scheduling and storage.","https://pages.cs.wisc.edu/~remzi/OSTEP/"
"C063","Data Engineering Zoomcamp","DataTalks.Club","Data Science","Intermediate","4.9","80","0.0","Docker; SQL; Terraform; GCP; Mage; dbt; Spark; Kafka","Python & SQL","Free 9-week intensive bootcamp covering batch streaming data pipelines and cloud data warehousing.","https://github.com/DataTalksClub/data-engineering-zoomcamp"
"C064","Machine Learning Zoomcamp","DataTalks.Club","Data Science","Intermediate","4.8","60","0.0","Regression; Classification; Deployment; Docker; KServe; Kubeflow; AWS Lambda","Python Basics","Practical project-oriented machine learning course focused on end-to-end model deployment.","https://github.com/DataTalksClub/machine-learning-zoomcamp"
"C065","LLM Zoomcamp: Generative AI & Engineering","DataTalks.Club","AI & Machine Learning","Intermediate","4.9","50","0.0","RAG; Vector Search; Elasticsearch; Ollama; Evaluation; LLM Monitoring","Python","Learn how to build real-world production-ready Retrieval-Augmented Generation applications.","https://github.com/DataTalksClub/llm-zoomcamp"
"C066","Statistics for Data Science and Business Analysis","Udemy (365 Careers)","Data Science","Beginner","4.6","10","19.99","Descriptive Statistics; Inferential Statistics; Hypothesis Testing; Regression; ANOVA","High School Math","Master fundamental statistical concepts and apply hypothesis testing to real-world business problems.","https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/"
"C067","Tableau 2024 A-Z: Hands-On Data Visualization","Udemy (Kirill Eremenko)","Data Science","Beginner","4.6","9","19.99","Tableau; Data Storytelling; Interactive Dashboards; Business Intelligence; Calculations","None","Learn data visualization and dashboard design using Tableau to turn numbers into visual stories.","https://www.udemy.com/course/tableau10/"
"C068","Power BI Masterclass - Dashboards and Power Query","Udemy (Nikolai Schuler)","Data Science","Beginner","4.6","8","19.99","Power BI; DAX; Power Query; Data Modeling; KPI Dashboards","Excel Basics","Transform raw enterprise data into interactive business reports and dashboards with Power BI.","https://www.udemy.com/course/power-bi-masterclass-dashboards-and-power-query/"
"C069","Linear Algebra Done Right","MIT OpenCourseWare (Gilbert Strang)","Computer Science","Intermediate","4.9","45","0.0","Matrix Multiplication; Vector Spaces; Orthogonality; SVD; Eigenvectors","Calculus","World-renowned introduction to linear algebra matrix factorizations and foundational applications.","https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/"
"C070","Product Management Fundamentals","Coursera (University of Virginia)","UI/UX Design","Beginner","4.7","15","49.0","Product Strategy; User Personas; MVP; Agile; Roadmapping; Metrics","None","Master the core frameworks required to manage digital products from inception to market launch.","https://www.coursera.org/learn/uva-darden-digital-product-management"
"C071","Agile with Atlassian Jira","Coursera (Atlassian)","Software Engineering","Beginner","4.7","12","49.0","Scrum; Kanban; Jira; Sprints; Agile Estimation; Backlog Grooming","None","Learn Agile project management principles and configure Jira boards to deliver software iteratively.","https://www.coursera.org/learn/agile-atlassian-jira"
"C072","Computer Vision Nanodegree","Udacity","AI & Machine Learning","Advanced","4.7","80","399.0","OpenCV; YOLO; Object Detection; Image Segmentation; SLAM; GANs","Python; Deep Learning","Master computer vision workflows from image processing with OpenCV to real-time object tracking.","https://www.udacity.com/course/computer-vision-nanodegree--nd131"
"C073","Autonomous Vehicles Foundations","Coursera (University of Toronto)","AI & Machine Learning","Advanced","4.8","50","49.0","Kalman Filters; Localization; Motion Planning; CARLA Simulator; LiDAR","Python; Physics; Linear Algebra","Understand state estimation localization perception and path planning algorithms for autonomous driving.","https://www.coursera.org/specializations/self-driving-cars"
"C074","Linux Command Line and Shell Scripting Bootcamp","Udemy (Colt Steele)","Software Engineering","Beginner","4.8","18","19.99","Linux CLI; Bash; Permissions; Cron; Sed; Awk; Grep; Process Management","None","Master the Linux command line file systems process management and write powerful shell scripts.","https://www.udemy.com/course/the-linux-command-line-bootcamp/"
"C075","Git and GitHub - The Practical Guide","Udemy (Maximilian Schwarzmüller)","Software Engineering","Beginner","4.8","11","19.99","Git; GitHub; Branching; Merging; Rebasing; Conflict Resolution; CI/CD","None","Master version control workflows team collaboration merge conflict resolution and pull requests.","https://www.udemy.com/course/git-github-the-practical-guide/"
"C076","FastAPI - The Complete Course","Udemy (Eric Roby)","Web Development","Intermediate","4.7","16","19.99","FastAPI; Pydantic; SQLAlchemy; JWT Authentication; Async Python; Swagger UI","Python Basics","Build high-performance asynchronous REST APIs in Python using FastAPI Pydantic and SQLite/PostgreSQL.","https://www.udemy.com/course/fastapi-the-complete-course/"
"C077","Django 5 - The Practical Guide","Udemy (Maximilian Schwarzmüller)","Web Development","Intermediate","4.7","23","19.99","Django; ORM; Django Templates; Admin; User Authentication; Postgres","Python Basics","Build practical full-stack web applications with Python using the production-proven Django framework.","https://www.udemy.com/course/practical-django-the-complete-guide/"
"C078","Node.js Express MongoDB & More: The Complete Bootcamp","Udemy (Jonas Schmedtmann)","Web Development","Intermediate","4.8","42","19.99","Node.js; Express; MongoDB; Mongoose; JWT; Stripe; REST APIs","JavaScript Basics","Master backend web development building real-world enterprise applications with Node and Mongo.","https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/"
"C079","GraphQL with React: The Complete Developers Guide","Udemy (Stephen Grider)","Web Development","Intermediate","4.7","14","19.99","GraphQL; Apollo Client; Express GraphQL; Schemas; Mutations; Queries","React Basics","Learn how to design scalable GraphQL schemas and query backend APIs seamlessly from React.","https://www.udemy.com/course/graphql-with-react-course/"
"C080","Svelte & SvelteKit: The Complete Guide","Udemy (Maximilian Schwarzmüller)","Web Development","Intermediate","4.8","14","19.99","Svelte; SvelteKit; Reactive Declarations; Stores; SSR; Routing","HTML CSS JS","Build ultra-fast lightweight frontend web applications with zero virtual DOM overhead using Svelte.","https://www.udemy.com/course/sveltejs-the-complete-guide/"
"C081","Vue - The Complete Guide (incl. Router and Pinia)","Udemy (Maximilian Schwarzmüller)","Web Development","Intermediate","4.7","32","19.99","Vue 3; Composition API; Vue Router; Pinia; Vite; Single Page Apps","HTML CSS JS","Master Vue.js 3 from ground up including the Composition API state management and SSR.","https://www.udemy.com/course/vuejs-2-the-complete-guide/"
"C082","C# 12 and .NET 8 - Modern Cross-Platform Development","Packt / Udemy","Software Engineering","Intermediate","4.6","30","19.99","C#; .NET 8; Entity Framework; LINQ; Web APIs; Blazor","Basic Programming","Build scalable modern cross-platform web and cloud applications using C# and .NET 8.","https://www.udemy.com/course/c-sharp-dotnet/"
"C083","Rust for Backend Web Development","Zero To Mastery","Software Engineering","Advanced","4.8","20","39.0","Rust; Axum; Tokio; SQLx; Async Rust; Docker; Production Deployments","Rust Basics","Build robust blazing-fast memory-safe backend REST APIs and microservices using Axum and Tokio.","https://zerotomastery.io/courses/learn-rust/"
"C084","Database Management Systems (DBMS)","NPTEL (IIT Kharagpur)","Computer Science","Beginner","4.7","40","0.0","ER Modeling; Relational Algebra; SQL; Normalization; Indexing; B+ Trees; ACID","None","Comprehensive university curriculum covering relational database theory normalization and transaction management.","https://nptel.ac.in/courses/106105175"
"C085","Compilers: Principles Techniques and Tools","Stanford Online","Computer Science","Advanced","4.8","60","0.0","Lexical Analysis; Parsing; AST; Type Checking; Intermediate Code; Optimization","C or C++","Understand how high-level programming languages are parsed analyzed and compiled to machine code.","https://online.stanford.edu/courses/soe-ycs0002-compilers"
"C086","Cloud Native Microservices with Kubernetes and Istio","Udemy (Richard Chesterwood)","Cloud & DevOps","Advanced","4.7","18","19.99","Service Mesh; Istio; Envoy; Traffic Management; Mutual TLS; Telemetry","Kubernetes Basics","Implement secure observable and reliable service mesh architectures using Istio on Kubernetes.","https://www.udemy.com/course/istio-hands-on/"
"C087","Ansible for the Absolute Beginner","Udemy (Mumshad Mannambeth)","Cloud & DevOps","Beginner","4.7","8","19.99","Ansible; Playbooks; YAML; Inventory; Modules; Server Configuration","Linux Basics","Automate server configuration package installation and infrastructure deployments with Ansible.","https://www.udemy.com/course/ansible-for-the-absolute-beginner/"
"C088","GitHub Actions - The Complete Guide","Udemy (Maximilian Schwarzmüller)","Cloud & DevOps","Intermediate","4.8","8","19.99","GitHub Actions; CI/CD; Workflows; Automated Testing; Deployment; Secrets","Git Basics","Build production CI/CD automation pipelines directly inside your GitHub repositories.","https://www.udemy.com/course/github-actions-the-complete-guide/"
"C089","Practical Malware Analysis & Triage","TCM Security","Cybersecurity","Advanced","4.9","15","29.99","Static Analysis; Dynamic Analysis; Ghidra; x64dbg; Sandboxing; YARA","C Basics; Assembly","Learn practical techniques to dissect malware samples safely extract IOCs and understand payloads.","https://academy.tcm-sec.com/p/practical-malware-analysis-triage"
"C090","Network Defense and Countermeasures","Coursera (EC-Council)","Cybersecurity","Intermediate","4.6","28","49.0","Firewalls; IDS/IPS; VPNs; Network Hardening; Defense-in-Depth","Networking Basics","Implement defensive security postures to protect corporate network infrastructure from perimeter threats.","https://www.coursera.org/learn/network-defense-countermeasures"
